NJCAA
MAJCC,North,South,,,,,,,,,,,
SWJCC,Jayhawk,Cowboy,,,,,,,,,,,
MHC,East,West,,,,,,,,,,,
MWAC,North,South,,,,,,,,,,,
Nor Cal,American,National,,,,,,,,,,,
So Cal,American,National,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# MAJCC,,,,,,,,,,,,,
TEAM,MAJCC,North,Northwest Miss,NWMS,90,JC,,,,,,,
TEAM,MAJCC,North,East Miss,EMCC,90,CLCC,,,,,,,
TEAM,MAJCC,North,Holmes,HOLM,85,MSGC,,,,,,,
TEAM,MAJCC,North,Northeast Miss,NEMS,85,PRCC,,,,,,,
TEAM,MAJCC,North,Itawamba,ITCC,75,HIND,,,,,,,
TEAM,MAJCC,North,Coahoma,CCC,75,SWMS,,,,,,,
TEAM,MAJCC,North,Miss Delta,DLTA,60,ECCC,,,,,,,
TEAM,MAJCC,South,Miss Gulf Coast,MSGC,90,HOLM,,,,,,,
TEAM,MAJCC,South,Jones,JC,90,NWMS,,,,,,,
TEAM,MAJCC,South,Pearl River,PRCC,80,NEMS,,,,,,,
TEAM,MAJCC,South,Co Lin,CLCC,75,EMCC,,,,,,,
TEAM,MAJCC,South,Hinds,HIND,75,ITCC,,,,,,,
TEAM,MAJCC,South,Southwest Miss,SWMS,70,CCC,,,,,,,
TEAM,MAJCC,South,East Central,ECCC,60,DLTA,,,,,,,
# SWJCC,,,,,,,,,,,,,
TEAM,SWJCC,Jayhawk,Hutchinson,HTCH,90,NVRO,,,,,,,
TEAM,SWJCC,Jayhawk,Coffeyville,COFF,85,TVCC,,,,,,,
TEAM,SWJCC,Jayhawk,Butler,BTLR,80,TYLR,,,,,,,
TEAM,SWJCC,Jayhawk,Independence,INDY,80,KLGR,,,,,,,
TEAM,SWJCC,Jayhawk,Garden City,GCCC,80,BLNN,,,,,,,
TEAM,SWJCC,Jayhawk,Dodge City,DCCC,75,NEO,,,,,,,
TEAM,SWJCC,Jayhawk,Highland,HLND,60,CSCO,,,,,,,
TEAM,SWJCC,Cowboy,Trinity Valley,TVCC,85,COFF,,,,,,,
TEAM,SWJCC,Cowboy,Navarro,NVRO,80,HTCH,,,,,,,
TEAM,SWJCC,Cowboy,Kilgore,KLGR,80,INDY,,,,,,,
TEAM,SWJCC,Cowboy,Tyler,TYLR,75,BTLR,,,,,,,
TEAM,SWJCC,Cowboy,Blinn,BLNN,75,GCCC,,,,,,,
TEAM,SWJCC,Cowboy,NE Oklahoma A&M,NEO,65,DCCC,,,,,,,
TEAM,SWJCC,Cowboy,Cisco,CSCO,60,HLND,,,,,,,
# MHC,,,,,,,,,,,,,
TEAM,MHC,West,Erie,ERIE,80,NASS,,,,,,,
TEAM,MHC,West,Comm Christian,CCMI,75,ASAB,,,,,,,
TEAM,MHC,West,Hocking,HOCK,70,SUSX,,,,,,,
TEAM,MHC,West,Onandoga,OCC,70,HDVL,,,,,,,
TEAM,MHC,West,Lackawanna,LACK,70,MNRO,,,,,,,
TEAM,MHC,West,Central Penn,CPCC,65,ROCK,,,,,,,
TEAM,MHC,West,Potomac State,PSC,60,LCCC,,,,,,,
TEAM,MHC,East,Sussex County,SUSX,85,HOCK,,,,,,,
TEAM,MHC,East,Nassau,NASS,80,ERIE,,,,,,,
TEAM,MHC,East,ASA Brooklyn,ASAB,75,CCMI,,,,,,,
